date,comment,surge_level
2025年04月10日 21:01,"海方面や山方面で雷⚡️光ってます…

釣り🎣の方やカーボン・金属の柄のタモも落雷の可能性が有りますので車等安全な所で待機するか？
諦めましょう！

パーマヘアーになるかもです…？（笑）
命が大事ですので〜",不明
2025年04月10日 14:52,"4月9日〜4月10日。
南側で23時頃1匹、他ポイントをウロウロし戻って3時頃8匹でした。",不明
2025年04月10日 08:26,頑張っておられるようですが、月齢からして厳しいと思います。遠方から来られてがっかりされてる様ですが、あえて無理せず月末ゴールデンウィークあたりに照準を定めてトライされた方が賢明と思います。ぼくは、そのつもりです。今まで出なかった年はないんで必ず楽しめますよ。漁獲量は、パッとしてない様ですが希望を持っておいで下さい。,不明
2025年04月10日 03:37,湾内砂浜共に異常無し。,不明
2025年04月10日 02:41,"八重津、イカの姿見えません。30分で諦めました。
昨年は爆寄りでしたが、今年は例年より身投げは少ないかな。",不明
2025年04月10日 01:40,"南側車多数イカなし
北側閉鎖中",不明
2025年04月10日 01:17,"四方は人もイカもいませんでした
岩瀬浜に移動し、車が4.5台。
帰っていく人もいます。
少し様子を見てみます。",不明
2025年04月09日 21:30,四方いまだ変わり無し。,不明
2025年04月09日 19:25,ただいま四方で観察中、変化無し。,不明
2025年04月09日 19:13,"蛍イカさんの気配は皆無でした。ただただ水行、、、
帰りにplant黒部で朝どれ100g299円だったかな？買いました。
月末、ゴールデンウィークのはじめで混雑しそうですが、また来ます。",不明
2025年04月09日 03:07,帰るつもりがぽつぽつと、1時間で30杯余り、すぐ沖漬けに😺。まだ掬えましたが網を片付けたので、後から来た方の応援📣をして同じ位掬われたのを見て、先に帰らせて頂きました😸。,不明
2025年04月09日 01:48,小雨🌂、波は穏やか、濁りなし。フラフラと、泳ぐホタルイカ🦑1のみ発見。他は見当たらず。雨が止まないから帰ります。,不明
2025年04月09日 01:20,"とりあえず来たけど人はぽつぽつとれてる気配なさそう
ほかのところはどんな感じなんだろ",不明
2025年04月08日 02:45,"人もイカもいない状況。。。
4時ごろまで待機",不明
2025年04月07日 21:52,イカとは直接関係ないですが、海老江〜八重津の間で深夜でもパトカーが交差点で一時停止違反に目を光らせています。イカを掬いに来た県外ナンバー、完全に狙われていますので要注意。,不明
2025年04月07日 06:29,"４月末にもう一度と思っていましたが、来てしまいました。日曜日のうちに、四方漁港到着。人、車とても少なく雰囲気は悪くは無い。地元のおっちゃん達の「今夜はもう帰る。」に合わせて、魚津補助港へ。
様子見２回の後、４時２０分から１時間少しで８杯。赤灯台のそばの外側です。もっと掬っている方々もいらっしゃいました。
思い切って来て良かったです。副管理人さん他皆さんの情報に感謝です。",不明
2025年04月06日 05:25,"3時半から粘って二匹。しかし日の出とともにくると信じてまだ頑張ります。
人は10人ほど。",不明
2025年04月06日 05:15,"12時から2時まてゼロでしたが、一旦休憩して3時から始めて5時まで粘って28匹でした。
あー疲れた😣💦",不明
2025年04月06日 05:01,逆風、イカ見えない,不明
2025年04月06日 04:21,"５時間粘って9杯でした。
人はいっぱい。
ゼロの人が多かったと思います。",不明
2025年04月06日 03:42,"見回ってたら一匹発見しました。
タモ持ってなかったので近くの方に教えました。",不明
2025年04月06日 03:40,"時々水滴も感じるし風が強くなってきたので撤収します
全く姿見えず
光るところ見たかった…",不明
2025年04月06日 03:29,"風が強い
人は少ない
イカはなし",不明
2025年04月06日 03:14,"遠路はるばる愛知から。
イカを求めて三千里。
スルメを食べて車で待機。",不明
2025年04月06日 03:10,"人もイカも居なくて寂しすぎる
俺も消える",不明
2025年04月06日 03:05,"風が強い
俺は弱い、、、",不明
2025年04月06日 03:02,岩瀬、滑川風が強く気配無し,不明
2025年04月06日 02:34,"イカはいない
けど俺たちはここにいるよ",不明
2025年04月06日 02:27,昼の好天に誘われて、岩瀬、八重津浜、四方と東から順番に回りましたが、イカなし。波は東ほどやや高し。県外の人はそれでも海に入っていて申し訳ない感じ。次のチャンスは月末かな、と思うのでもう少しだけ粘ります。,不明
2025年04月06日 02:21,"イカなし、人なし
時折突風のような強風に煽られる
堤防の縁に立ってると風で押されて落ちそう、結構怖い、、、",不明
2025年04月06日 02:05,浜黒崎いません！ふぐいます！かにいます！,不明
2025年04月06日 01:47,人はたくさんいるが、イカがまったくいない,不明
2025年04月06日 01:08,人は少なく、イカなし,不明
2025年04月06日 00:58,"入水している人はほぼなし
波なし風なしイカもなし
とりあえず後1時間はこまめに見に行ってみようかな

皆さん車を離れる際は必ず鍵をかけて
楽しみましょう♪",不明
2025年04月06日 00:42,"みっちゃんさん
頑張りますありがとうございます😊
少し動きがありました、周りも少しづつ取れてるみたいです。",不明
2025年04月06日 00:41,"イカ無し
すこ〜し波有り",不明
2025年04月06日 00:06,魚津　イカなし,不明
2025年04月05日 23:59,"人ガラガラ
イカの気配なし",不明
2025年04月05日 23:01,人もイカもいません,不明
2025年04月05日 22:21,"しばらく岩瀬浜見てましたがウェーディングするには波が高い気がして怖くなったので…
こっちの方が波はおとなしい
今日泳いでるのを見れなかったら諦めます…
先週の半分も人が居ない…
やはり新月狙いで皆さん来られてたんですかね
岩瀬浜は3人くらい海入られてましたがこちらは浜には1人も居られませんでした",不明
2025年04月05日 22:06,"人がポツポツと。
波が昨日よりマシ
地元の人にきいたところ、2時か3時か、もしくは明け方か。と。",不明
2025年04月05日 21:37,人多い、イカなし、眠い,不明
2025年04月05日 21:36,"濁りなし、風なし、波少しあり、思ったほど寒くない
イカはまだ見ず、人は段々集まってきてます",不明
2025年04月05日 21:35,"テトラの向こう、あまり遠くない場所にずっと船居るんですよね
ホタルイカ居るのかなあ",不明
2025年04月05日 20:57,"ひだぼるさん、投稿みさして貰いました。
頑張って下さい。また釣果とか写真投稿期待します。",不明
2025年04月05日 20:55,"昨日より風と気温は悪くなさそうですが、浜辺から見えるイカなし、潮の関係か人が増えてきて、駐車場で待機してる車も増えてきてます。
昨日採れてた魚津は今日も期待できるか！？",不明
2025年04月05日 19:35,"スタンバイOK
波無し、濁り無し、微風",不明
2025年04月05日 19:11,"昨夜は朝日周辺で粘りましたが不発。
やはり直前の雨と寒さが影響か？
宮崎海岸の駐車場は駐車不可になってました…。
マナーの悪い人が多かったり近隣への迷惑行為があるとこういう場所がどんどん増えてしまいますよね…。

今夜は行けませんが可能性ありな気がしますので行かれる方頑張ってください！",不明
2025年04月05日 18:26,"先週と同じくらいの時間ですが駐車場ガラガラです
やはりこれから干潮に向かうので難しいですかね",不明
2025年04月05日 05:51,"ホタルイカ少し来てました。
多く取れて方は100匹前後。
私は遅くに来たので5匹で終了💦
久しぶりに楽しませて貰いました。",不明
2025年04月05日 05:36,"地元？の方にホタルイカ頂きました！
優しい方が居て、ありがとうございました!!",不明
2025年04月05日 05:30,"立野の浜で取れました
少なめですが
満足です",不明
2025年04月05日 05:13,足で稼いで、身投げ含め５匹発見。３匹は若いカップルにあげて、あとはリリースしました。あすも同時間帯くるかな？期待薄いですが。。。,不明
2025年04月05日 04:22,風があって寒いです。人はまばら、イカはいません。,不明
2025年04月05日 04:17,"イカの影も見えません
フグが一匹",不明
2025年04月05日 04:08,人なしイカなし濁りなし,不明
2025年04月05日 03:37,船の往来の度に散ってしまいますが何とか確保しました。,不明
2025年04月05日 03:29,魚津周辺出てきてるかもしれないですね…,不明
2025年04月05日 03:27,外側テトラ多少きてます,不明
2025年04月05日 03:06,長くて大きいタモと水中ライトがある人は採れてました。,不明
2025年04月05日 03:00,とりあえず海老江海岸来てみたけど、人はちらほら、イカはなし。みんな待機中,不明
2025年04月05日 02:53,"波高く
人いる　イカはいない
思ったより寒くない
この気温は 来る気がする？",なし
2025年04月05日 02:42,"人がまばらにいる、ライトがチラホラ見える。
地元の知り合いに22時頃聞いたら、採れるなら2時以降とのこと。車で準備して行ってきます。",不明
2025年04月05日 01:43,サーフは荒れており、漁協側は21時からいますがイカおらず…あと寒い🥶,なし
2025年04月05日 00:11,入善辺りから片っ端に覗いていこうとなり、高速を降りてみましたが、人もイカもいない…,不明
2025年04月05日 00:02,"条件的には明日の方が良さそうだけど日曜雨だしな
どっち行ってもあんま変わらなさそうだけど釣りついでに見てきます",不明
2025年04月04日 23:32,"東京から見に来て全然いない…
もうちょい待って帰ろうかな",不明
2025年04月04日 23:20,東京から四方に向かってる道中、糸魚川辺りを通過中ですが雨降ってますね。気温、風向き、潮、天候と悪条件重なりすぎてホタルイカには出会えないですかね…,不明
2025年04月04日 23:19,岩瀬浜にイカいません。帰ります。,不明
2025年04月04日 23:14,"場所にもよるが雨降った割には海澄んでますねイカはいないが
若干北風吹いてるのもあって寒い",不明
2025年04月04日 22:56,"海岸沿いを歩いてみましたが気配なし…
気長に待ちます。",不明
2025年04月04日 22:10,人少ないし、イカ一匹のみ見つけた,不明
2025年04月04日 03:01,イカ掬い人おらず。ゴミと漂うホタルイカ1杯。帰ります。😂,不明
2025年04月03日 21:11,"雨が降ってる
波強め
濁りなし
人なし
イカなし",不明
2025年04月03日 20:39,"八重津に行くも気配無し。
イカもヒトも影は無し。
栃木から来ているのに残念でならず。
今週土日の大潮に期待します。",不明
2025年04月03日 03:19,"四方や浜黒崎に行ったけどイカなし人なしナミナミでした。
坊主でしだかなし
なぜ
イカ、、、",不明
2025年04月03日 00:50,"移動して見たが
ホタルイカ無し

人は来た時に居たけど
みんな帰っていった。

もー少し四方漁港で様子みます…",不明
2025年04月03日 00:48,"ホタルイカ 無し
人 ほとんど居ません

出そうな雰囲気なし💦",不明
2025年04月02日 23:47,"波高くてホタルイカはもちろん、人もおらず。。。

地元の優しいお婆ちゃんと話したけど、長年の勘で今日は無理だとのエビデンスいただきましたので帰ります。",不明
2025年04月02日 21:40,"見回りの人は数組居ますが投光器等は無し

灯台付近まで偵察しましたがゴミも浮いてて気分が…⤵️

今日は帰ります。

更新（承認）遅れるかも…？",不明
2025年04月02日 21:08,"長いタモを振り回すので車後ろに場所開け車内で待機していたら無理やり狭いスペースに金沢ナンバーのキャンピングカーが横取り…
しれーっと…こんばんわと挨拶されたが怒りで大人な対応が出来ませんでした…m(_ _)m

でも無理やり奥の場所に入る前に問い合わせませんか？💢

気分を害したのと悪条件なので他のポイントへ移動します！

イカなし
漁港内波有り",不明
2025年04月02日 20:11,"小雨
強風

漁港内波だって見辛い

しばらくキツイな…⤵️",不明
2025年04月02日 04:31,今しがた5杯目を掬って、満潮＆日の出まで後1時間。人もいなくなったし、帰ります。,不明
2025年04月02日 04:02,"相変わらずイカZERO

引き際に迷う",不明
2025年04月02日 02:20,"ホタルイカ初挑戦なので何が正解なのかわからないw

波少々、濁りなし、イカなし、人なし

結果、夜の海はこわい😱

休憩して1時間後に偵察再開",不明
2025年04月02日 02:18,氷見の方から何箇所か浜見てますが気配がありませんでした。八重津まで行って帰ります,不明
2025年04月02日 01:58,"人は入れ替わったが…
イカは居ない…

パトロール🚓終了…⤵️


皆さん風邪引かないように〜✊️",不明
2025年04月02日 01:45,波あり、濁りなし、イカなし、人は数人。もう少しいてもいいけど、あすに備えて撤収します。,不明
2025年04月02日 01:38,"波は少しあり、濁りなし。
人もいなければ、イカもなし。ゴミなし。

人もイカもいない海は怖いので

10分で撤退",不明
2025年04月02日 01:36,"波有り

イカなし",不明
2025年04月02日 01:35,"４つの浜みてきたけど、どこも波高く濁りで全滅。。
暖かく風もなく雨降ってなく条件揃っても、透明度高い穏やかな海で産卵する習性のホタルイカ。昨日は、満潮の時にふわふわ現れたけど、今日は私が🦑でも産卵したくない感じ。満潮来ても変化なかったら今日は帰ります。",不明
2025年04月02日 01:14,人はいるけどイカの姿なし,不明
2025年04月02日 00:56,その後、1時間経過するも3杯のみ,不明
2025年04月02日 00:32,人は少々居ますが投光器入れてないのでイカは居ないのかな？,不明
2025年04月02日 00:18,"網も持っていない偵察隊数名

イカなし",不明
2025年04月01日 23:58,"車30台以上

網入れてる人なし",不明
2025年04月01日 23:51,"車組4

イカなし

船の出港を見送ってます。",不明
2025年04月01日 23:39,着くなり、漂う1杯発見！後はおらず。先見隊!?又は今朝の残り？取り敢えずボウズにはならず、後続に期待して暫し休憩😄,不明
2025年04月01日 23:33,"八重津浜

まだイカの姿なし、場所によって少しにごりあり",不明
2025年04月01日 23:28,"イカなし

パトロールの人　少々",不明
2025年04月01日 12:53,"あくまで確率の高い日はあっても気象条件で変わるし、イカがいても濁っていては見えないので掬えません。
県外から何時間もかけてわざわざ来られる人の為にもガセ投稿はやめましょう。
県外から来られる方は同じ浜、同じ漁港でも西と東とか、部分的な場所で獲れる事もあるし、底の方にだけいて浮いてこない群れとかも居るので一概にガセでは無い投稿も含まれる事をご理解ください。",不明
2025年04月01日 11:37,"20時ごろから3：30ごろまで掬いました
日付変わるぐらいからぼちぼち取れ始めて1〜3時ごろがピークでたくさん取れて初めてのホタルイカでしたが大満足の結果になりました♪
帰ってから配る用と家族用で数えたら308杯でした",不明
2025年04月01日 11:19,"岩瀬浜でやってましたが、石田漁港の投稿を見て移動しました。
着いた時には少し出遅れでしたが、20匹くらいの群れ（着いてから40分くらいの間だけ）が集魚灯に寄ってきてくれたので、到着の3時過ぎから5時くらいまでで、3〜4キロほど掬う事が出来ました。
削除されてしまったのには何か理由があるのでしょうが、感謝しています。
削除された事でたくさんの人が押し寄せる事はなかったのもよかったなーと思いました。",不明
2025年04月01日 11:13,"昨夜は八重津で待機しようと思ってましたが濁りがあったので、22時すぎに魚津補助港へ移動。すでにたくさんの方がいました。
ホタルイカ4回目でウェーダーと長いタモデビュー☆
今回はポツポツ来るホタルイカを4名で海中と堤防から狙い、なんとか朝までやって100匹ほどゲットしました。
厳しかったけど楽しめました！",不明
2025年04月01日 10:47,"魚津補助港で11時頃から5時までやって2キロほど掬えました
今日は外海側よりも湾内が良かったみたいです",不明
2025年04月01日 09:26,"眠気と闘いながら命からがら信州へ帰って来たずら（；´Д｀）💦
23時の浜辺パトロールで3匹ほど確認したので喜び勇んで海に入ったものの、1時くらいまで3匹くらいしか掬えず(´･ω･`)
しかも波を受けてウェーダーの中に水入って冷たいし🌊
1時を回ってからポツポツと30匹くらい掬い、2時くらいからペースが上がってコンスタントに掬えるようになり、時間とともに段々数が多くなり、10匹くらいの群れがどんどん流れて来て、周辺の人と大忙しで掬ったずら💦
4時頃になったら一気に少なくなったので引き上げて帰って来たずら(^^)v
始まるのが遅かった分、そこまで多くは掬えなかったけど、1,000匹くらいは掬えたかと。
「行っても無駄足」とか書き込んでる人いたけど、そういうのやめようよ。少しの望みに賭けて現地で頑張ってる人いるんだからさ。
しかもちゃんとホタルイカ来たし。あなたの予想は当たらないね(^_-)",不明
2025年04月01日 05:52,イカ なし、釣り人多数。,不明
2025年04月01日 05:51,"ガセネタは、やめましょう。
そこで釣りしてましたが、身投げ確認できず掬ってる人もいませんでした。",不明
2025年04月01日 04:41,"海老江ですが砂浜側で3匹、スロープ側で2匹確認したけど今から来るのかは不明。
もう少し待機してみます。",不明
2025年04月01日 04:18,"［ぱぱぱ］
無題

皆さんどこで待機されてますか？
（投稿拒否）


［ぷりん］
石田漁港

石田漁港で結構取れます！！ 2時間で100匹ほど
（本人削除）


［さかな］
入善沖洋上風力発電所

入善沖洋上風力発電所のあたりだいぶいます
1時間で5キロほど　
今からでも間に合います！",不明
2025年04月01日 03:29,100匹まで粘って終了です。お疲れ様でした。,不明
2025年04月01日 02:43,"0時から2時まで、息子と2人で63匹でした。
人多かったけど、ホタルイカもポツポツ出ていたので皆さん捕れてたんじゃないかと思います。
歩き疲れました(^_^;)",不明
2025年04月01日 02:31,"風なし波少し
人なし🦑なし",不明
2025年04月01日 02:29,ポツポツ1時間、集魚ライトで集めて40匹現在は、止まりました。,不明
2025年04月01日 01:48,"人生初のホタルイカ挑戦
まだほとんど🦑いないみたいです",不明
2025年04月01日 01:32,移動するか…,不明
2025年04月01日 01:31,"魚津補助港で15匹でした〜

初物🦑頂きまーす🙏",不明
2025年04月01日 01:02,八重津獲れてる情報見て来てみましたが人とゴミが多くて厳しい。。。,不明
2025年04月01日 00:46,"30分ほどで３匹取れました

数が少なく、人が多いので取り合いの喧嘩になりそう",不明
2025年04月01日 00:45,30分で１匹すくえただけです。,不明
2025年04月01日 00:31,"風無し、濁りなし、海藻の浮遊物ややあり。
しかしまだホタルイカはいない模様。",不明
2025年04月01日 00:24,"魚津補助港の白灯台や赤灯台や砂浜で捕れてるみたいですが…

私の場所は止まったので帰ります。",不明
2025年03月31日 23:57,魚津ポツポツ獲れてます,不明
2025年03月31日 23:54,"海老江に向いましたがホタルイカの姿はないようです。
他の投稿者の情報から八重津、白灯台に向います。",不明
2025年03月31日 23:15,"相変わらず弱い南風で好条件ズラ。
浜辺を歩くと数匹確認。
これから準備して海に入るズラ٩(ˊᗜˋ*)و",不明
2025年03月31日 23:06,"海老江は風なし波穏やか濁り無し

火力発電所前は風なし波は少しあり砂浜は大量のゴミで濁りありなので選択肢から外しました。

岩瀬浜は風なし波あり濁り無し
波があるのでホタルイカが来ても砂を噛んでいる可能性大なので選択肢から外しました。",不明
2025年03月31日 23:04,"干潮
潮止まり…

ココは🦑止まり


白灯台は捕れてるみたい…",不明
2025年03月31日 22:51,どなたか富山方面から同乗させていただける方はいませんでしょうか？,不明
2025年03月31日 21:37,増えてきた〜🦑,不明
2025年03月31日 21:30,"ムフっ〜😍

白灯台は来てるね〜🦑",不明
2025年03月31日 21:24,"日中の北風強風で、
現在のところ海は激濁り。

昨日より酷いから、
風邪引く前に家で暖かくしてた方がいいよー。

次の新月周りまで、みなさんバイバイ！",不明
2025年03月31日 21:18,"21時のパトロールに行って来たズラ。
南風1.7m
気温6.1℃
濁り少なく波も大きくありません。
昨日あった大量の木屑も沖に流されて行ったようで、そんなに気にならない感じになってました。

まだ干潮も来ていないのでホタルイカの姿はまったく❌
潮が満ち始める23時以降まで仮眠しようと思うズラ(_ _).｡o○",なし
2025年03月31日 21:17,"ゴミなし。
濁りなし。
波スネ。
イカなし。
一眠り開始します。",なし
2025年03月31日 21:08,"場所により濁り有り
細い屑ゴミ有り
気温５℃で風が冷たい

🦑無し",不明
2025年03月31日 21:03,"八重津全くです
皆さんどんな感じでしょうか",不明
2025年03月31日 19:59,"昨日は八重津で3匹も獲れた方が居たようで羨ましい限りです(≧∀≦)
我が家は雪が降ったあたりで完全に諦めて、暑くなる頃まで寝続けてしまったズラ(^^;)💤

昼間は富山の街中で色々お金を使い、今夜もまた八重津浜に戻って来たズラ。
無料のホタルイカを掬うためには、けっこうお金が逃げていくズラ（；´Д｀）💸💸💸

暇なので散歩して駐車場に停まっている車のナンバーチェックしてみたズラ。
名古屋、岐阜、湘南、金沢、石川、長野、和泉、飛騨、静岡などなど、富山ナンバーは1台だけでした(=ﾟωﾟ)！
みなさん遠くからホタルイカの灯りを求めて吸い寄せられて来るんですね✨🦑✨

今夜はたくさんあの綺麗な青い光を拝めるといいズラね(^^)",不明
2025年03月31日 11:55,"１０時から６時まで寝過ごしましたが釣果は3匹でした。南風で濁り有りでしたがもう少し出てくれると良かったです。
また来年も宜しくお願いします🤲",不明
2025年03月31日 06:12,10年ぶり二度目ですが、なんとか1匹だけ。,不明
2025年03月31日 05:57,朝の４時に雪もかなり治まったので、イカが来るかなぁ。と期待しましたが、「イカなし」でした。,不明
2025年03月31日 03:11,"予想外の雪も雨もやんだけど、満潮になりましたが、今夜は駄目かもな。ホタルイカは、人がいっぱいいてライトを照らしたり、車のライトとかでも、びっくり混乱して警戒して来なくる習性でもあるみたいです。
静かにもう少しだけ待って明日に期待。",不明
2025年03月31日 03:01,"吹雪いてる。
人いない
風強い
そしてイカは見えない。",不明
2025年03月31日 02:28,"雪降って来たずら。
車に少し積もってる・・・",不明
2025年03月31日 01:39,寒濁り少なし満潮まで待機です,不明
2025年03月31日 01:16,"1時のパトロールに行って来たズラ。
風は南風に変わり、海の中も見えるくらいの波だけどホタルイカの姿なし。
10名ほど海に入っているものの掬えている雰囲気はなし🦑
満潮までまだ数時間あるのでパトロール続けるズラ🙂",不明
2025年03月31日 01:09,"こちら異常なし
ほんと寒いですね。
風邪ひかないようにたいきします。
みなさんも気をつけてください。",不明
2025年03月31日 01:07,"イカいません。
雨もぱらついてきました。
今日は厳しいかな？",不明
2025年03月31日 00:25,"人も少なくイカも居ない。
明日かなぁ。。
南風出るまで少し待機。",不明
2025年03月30日 23:22,"経験上、今日は多分駄目だなぁー。

でも、後から南風の予報なので、
朝方まで待機してみます。

本番は明日かな〜•ू( ͒ᵒ̴̶̷᷄ωᵒ̴̶̷᷅*•ू ͒) ​ )੭ु⁾⁾",不明
2025年03月30日 22:29,北西の風が冷たく、現在イカは全く確認できない状況。,不明
2025年03月30日 22:24,"寒過ぎてホタルイカどころじゃありません😓
北風吹いてるし条件悪いです🙂‍↕️",不明
2025年03月30日 21:42,波なし、薄濁りあります。寒いですね,不明
2025年03月30日 20:58,"今年も信州からホタルイカ掬いにやって来たズラヽ(´▽｀)/
今日はもうちょっと天候がいいと思って来たけど、寒いし西風強めだし、ちょっと厳しいかな...(´･ω･`)

駐車場はまだ空きが多数。
浜辺を歩く灯りは全くなし・・・

明日の夜に期待して、今晩はPLANT-3で買った寿司食って凌ぐズラ🍣😋",不明
2025年03月30日 15:21,"朝の４時から６時
ホタルイカすくい３匹",不明
2025年03月30日 11:50,"土曜日の20時から22時前、日曜日の1時前から2時前と休憩しながら四方漁港から八重津浜の３個目の突堤（？）辺りまでを探りましたが、回りの皆さんも網を入れてる人はいない位に取れていません。4時前から5時過ぎの時には３番目の突堤（？）辺りで掬われている方々が。お隣に入れてもらって結果１杯だけ。２０杯位の方がおられたのではないでしょうか？
１杯は大事に「朝どれ朝ゆで」で頂きました。
今晩、もう一頑張りします。何処がいいんでしょうね？",不明
2025年03月30日 11:08,伏木富山港 3号岸壁西側に早朝ホタルイカ大量にいたようですね,不明
2025年03月30日 10:06,"今年は、新月大潮周りどこも　あまりいい獲れ高ないみたいですね。昨年は、ほぼ毎日どこかで大漁だったのに
今年の分まで去年出ちゃったのかな",不明
2025年03月30日 09:24,"28,29日の夜、二日間岩瀬浜にて頑張りましたけど、ホタルイカ🦑の姿を掬うどころか見る事さえ出来なかったです。人の数は、多かった、4月末にまた来ます。
自然は難しい　🦑の気持ちが分かればいいのですがね❗️",不明
2025年03月30日 08:10,"海に向かって右手は全滅！
左手の堤防の辺りの人達かなり取ってました、
人がいっぱいだったから最初行かなかったけど、
早いうちから行っておけば良かったな。
2:30～5:30まで粘って、
4:00すぎ位から10分間隔位で取れました！
まあ今年はゼロじゃなかったから良かったー",不明
2025年03月30日 07:45,全く駄目でした。キャンプのみとなりました🏕️,不明
2025年03月30日 06:20,４時前後に2匹掬えたのが全てでした。,不明
2025年03月30日 06:00,２時間で3匹,不明
2025年03月30日 05:38,入善もだめ！玉砕😢,不明
2025年03月30日 05:34,海に人もなし,不明
2025年03月30日 05:30,２３時頃四方につき、１時頃神通川近くでなんとか3匹取れました,不明
2025年03月30日 04:09,穴場人もいないしやっぱりすごいです,不明
2025年03月30日 04:02,"石田浜海水浴場の釣り桟橋側で少しだけホタルイカを確認できました。
あまり数には期待出来なさそう。",不明
2025年03月30日 04:00,"どこもだめです
帰ります。",不明
2025年03月30日 03:42,"2時半から1時間探し回ったけど
漂着物多いところと澄んでるところ
どこいっても発見出来ず。",不明
2025年03月30日 03:38,岩瀨漁港内で出ていますか？,不明
2025年03月30日 03:28,四方、八重津どうですか？,不明
2025年03月30日 03:21,イカいない〜🤣,不明
2025年03月30日 03:07,海老江異常なしです,不明
2025年03月30日 03:00,魚津漁港人は増えましたがいかはいません,不明
2025年03月30日 02:53,蜃気楼周辺人はぼちぼちでイカはいません,不明
2025年03月30日 02:45,いないですね。。。,不明
2025年03月30日 02:44,"入善気配なしです…
厳しいですかね…",不明
2025年03月30日 02:43,"寒いですね。みなさん情報ありがとうございます。
イカ+キジハタおめでとうございます(^^)
入善イカなし。",不明
2025年03月30日 02:34,"魚津は水が澄んでいますが風が強く寒いです
新湊より見て回りましたが滑川より西は水が濁っていて厳しそうです
それと路駐や無理な横断が多く危険で迷惑です
自分は釣りがメインなので毎年もっと条件の良い日にくればいいのにと思います
明日か明後日の方が良さそうです",不明
2025年03月30日 02:32,"少しズレたところに行くと大量発生してました。
寒いし、持ち帰れないので撤収。
3年振りの収穫。
また機会があれば来ます。",不明
2025年03月30日 02:24,"イカ掬ったついでにホタパしてキジハタもキャッチ
なんていい日だ",不明
2025年03月30日 02:22,2回目待機中,不明
2025年03月30日 02:18,ちょっと掬うの忙しいので後で場所言います,不明
2025年03月30日 02:11,"海老江全くおらず…
今日はダメそうですね。",不明
2025年03月30日 02:11,"人が多いの嫌だけん人がおらん所に行ったら、ホタルイカおるじゃん！
ポツポツって感じだけど、食べ切れる分だけ掬って満足
明日パスタにしよっと",不明
2025年03月30日 02:00,周り数人だけ取れてる感じですよ？,不明
2025年03月30日 01:57,"波高し
潮満ちはじめ
イカは無し",不明
2025年03月30日 01:52,10分で50匹ぐらいのペースですね,不明
2025年03月30日 01:25,"岩瀬
波多し
人多し
イカゼロ
駄目だな今回は。",不明
2025年03月30日 01:21,いません。人だけが大量です。,不明
2025年03月30日 01:14,"岩瀬浜
諦めて車内でするめ食ってる",不明
2025年03月30日 01:00,"入善波高い、濁りあり、気配ゼロ
今日はもうダメぽ。",不明
